location_mid west,location_north,location_north east,location_north west,location_south,location_south east,location_south west,property_type_apartments,property_type_dorms,property_type_homes,property_type_hostels,property_type_houses,property_type_school buildings,property_type_townhouses,construction_year,renovation_year,ever_renovated,predicted_price,hvac,plumbing,electrical
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1903,2007,1,697537,18,6,27
0,0,0,0,0,1,0,0,0,0,1,0,0,0,2018,2013,1,546206,29,6,25
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1978,1959,0,518045,9,10,30
0,1,0,0,0,0,0,0,0,0,0,0,1,0,2011,1959,0,474165,32,14,18
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1954,1959,0,394575,34,10,19
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1971,1959,0,758821,29,15,16
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1941,1959,0,305534,23,16,38
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1949,1959,0,831429,35,17,12
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1960,1959,0,723909,35,10,31
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1956,1959,0,977544,19,24,37
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1946,1959,0,117541,32,7,25
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1933,1959,0,609604,13,10,24
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1988,1959,0,52286,10,21,43
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1965,1924,1,555099,19,7,32
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1908,1920,1,157960,11,24,46
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1904,1959,0,286429,16,11,40
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1927,1959,0,949878,21,23,25
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1945,1959,0,665318,26,18,31
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1994,1959,0,526626,26,24,27
0,1,0,0,0,0,0,1,0,0,0,0,0,0,2009,1918,1,934545,22,21,26
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1923,1959,0,602394,36,18,23
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1948,1959,0,494546,15,21,30
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1945,1959,0,235515,33,12,35
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1939,1959,0,359848,25,16,44
0,0,0,0,0,0,1,1,0,0,0,0,0,0,2014,1970,1,903514,25,6,20
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1955,1959,0,851068,8,23,33
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1959,1982,1,988449,24,24,29
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1939,1959,0,733987,26,11,25
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1932,1984,1,231900,12,19,20
0,0,0,0,1,0,0,0,0,0,1,0,0,0,2022,1979,1,457777,12,17,23
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1966,1959,0,522829,33,7,16
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1913,1998,1,117218,24,24,36
0,0,0,0,1,0,0,0,0,0,0,0,1,0,2018,1959,0,13335,20,6,14
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1925,1981,1,494789,27,22,16
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1900,1959,0,846403,10,16,38
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1974,1933,1,237763,35,16,21
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1967,1912,1,599246,13,23,13
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1917,1974,1,722036,28,6,16
